Location,Plug,Point_ID,Population,Plot,Point ID,Plot_Point,δ13CVPDB (‰),Total C (µg),Sample Weight (mg) from Sample List,Collection Date #1,Stem length (cm) #1,Filename of flower JPG #1,Flower Diameter #1 (cm),Collection Date #2,Stem length (cm) #2,Filename of flower JPG #2,Flower Diameter #2 (cm),Collection Date #3,Stem length (cm) #3,Filename of flower JPG #3,Flower Diameter #3 (cm),Date of sowing,Date of Germination,Date of First Flower,Date of First Fruit Collection,Date of Last Fruit Collection,Date of first (closed) fruit collection from envelope,Date of first (dehisced) fruit collection from envelope,Days from sowing to germination,Days from germination to flowering,Days from sowing to flowering,Days from Sowing to First Fruit collection,Days from first flower to first fruit,Total number of closed fruits collected (lifetime),Total number of filled seeds in all closed fruits,Mean seeds per closed fruit,Total number of dehisced fruits,Total number of all fruits,Above-ground Skeleton Biomass (g),,Notes
1.1.0,5A,BO_001,BO,1,P1,BO_001_P1,NA,NA,NA,5/6/19,9,IMG_4485,1.82,NA,2.16,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.0,5E,BO_001,BO,1,P2,BO_001_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.0,5I,BO_001,BO,1,P3,BO_001_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,5/6/19,NA,NA,NA,NA,27,119,146,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.0,25A,BO_001,BO,1,P4,BO_001_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,5/6/19,NA,NA,NA,NA,27,119,146,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.0,25E,BO_001,BO,1,P5,BO_001_P5,-29.8364,474.8396,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,NA,NA,27,105,132,153,21,NA,NA,NA,NA,NA,0.0405,,
1.1.0,25I,BO_001,BO,1,P6,BO_001_P6,-30.6186,363.582,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,4,4,NA,1,0.02,,
1.1.0,45A,BO_001,BO,1,P7,BO_001_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.0,45E,BO_001,BO,1,P8,BO_001_P8,-30.4856,973.0749,3.4,5/6/19,10.5,IMG_4486,1.93,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,6/3/19,27,105,132,153,21,4,13,3.25,1,5,0.101,,
1.1.0,45I,BO_001,BO,1,P9,BO_001_P9,-30.5915,412.5593,1.7,4/22/19,7.5,20190422_143202.jpg,2.42,4/22/19,10.2,20190422_143326_HDR.jpg,2.81,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,6/11/19,27,105,132,153,21,2,12,6,2,4,0.0836,,
1.1.4,5A,BO_002,BO,2,P1,BO_002_P1,-30.3851,509.2078,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,1,2,2,NA,1,0.0154,,
1.1.4,5E,BO_002,BO,2,P2,BO_002_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.4,5I,BO_002,BO,2,P3,BO_002_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.4,25A,BO_002,BO,2,P4,BO_002_P4,-32.0124,638.7181,1.8,4/22/19,4.2,20190422_143643_HDR.jpg,2.16,4/29/19,9.5,IMG_4437,2.56,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,2,6,3,NA,2,0.0529,,
1.1.4,25E,BO_002,BO,2,P5,BO_002_P5,-31.0461,624.9574,2.1,4/22/19,8,20190422_143712_HDR.jpg,2.64,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,NA,NA,27,105,132,182,50,NA,NA,NA,NA,NA,0.0153,,
1.1.4,25I,BO_002,BO,2,P6,BO_002_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.4,45A,BO_002,BO,2,P7,BO_002_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.4,45E,BO_002,BO,2,P8,BO_002_P8,-30.6875,470.3122,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,1,3,3,NA,1,0.0216,,
1.1.4,45I,BO_002,BO,2,P9,BO_002_P9,-31.3216,390.0567,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/11/19,6/11/19,6/11/19,NA,27,112,139,182,43,1,3,3,NA,1,0.0109,,
1.1.6,5A,BO_003,BO,3,P1,BO_003_P1,-29.8764,614.5867,2.1,5/6/19,16,IMG_4487,1.99,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,5/6/19,6/11/19,6/11/19,6/11/19,NA,27,119,146,182,36,3,11,3.67,NA,3,0.0817,,
1.1.6,5E,BO_003,BO,3,P2,BO_003_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.6,5I,BO_003,BO,3,P3,BO_003_P3,-30.5842,491.0568,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,2,5,2.5,NA,2,0.0788,,
1.1.6,25A,BO_003,BO,3,P4,BO_003_P4,-29.8138,542.4755,2.1,4/22/19,10.2,20190422_144244_HDR.jpg,1.78,4/22/19,9.8,IMG_4212,1.89,5/6/19,17,IMG_4488,1.98,12/11/18,1/7/19,4/22/19,6/11/19,6/24/19,6/11/19,NA,27,105,132,182,50,7,16,2.29,NA,7,0.1653,,
1.1.6,25E,BO_003,BO,3,P5,BO_003_P5,-30.1529,866.8745,3.1,4/22/19,5.9,IMG_4213,1.89,5/6/19,16.5,IMG_4490,2.12,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/24/19,6/11/19,NA,27,105,132,182,50,4,12,3,NA,4,0.0166,,
1.1.6,25I,BO_003,BO,3,P6,BO_003_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.6,45A,BO_003,BO,3,P7,BO_003_P7,NA,NA,NA,4/22/19,5.8,IMG_4214,1.86,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.6,45E,BO_003,BO,3,P8,BO_003_P8,NA,NA,NA,4/22/19,9.8,IMG_4215,2,4/22/19,6.3,IMG_4216,3,4/29/19,18,IMG_4438,2.17,12/11/18,1/14/19,4/22/19,5/20/19,6/11/19,5/20/19,NA,34,98,132,160,28,8,22,2.75,NA,8,NA,,
1.1.6,45I,BO_003,BO,3,P9,BO_003_P9,NA,NA,NA,4/22/19,92,IMG_4217,2.5,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.8,5A,BO_004,BO,4,P1,BO_004_P1,-30.6784,489.3864,1.5,4/22/19,8.4,IMG_4218,2.43,4/29/19,10.5,IMG_4439,1.88,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,6/3/19,5/20/19,NA,27,105,132,160,28,2,0,0,NA,2,0.0568,,
1.1.8,5E,BO_004,BO,4,P2,BO_004_P2,NA,NA,NA,4/22/19,7.3,IMG_4220,2.15,5/6/19,15,IMG_4491,1.64,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.8,5I,BO_004,BO,4,P3,BO_004_P3,-30.796,620.1328,2.1,4/22/19,4.6,IMG_4221,2.35,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/11/19,NA,27,105,132,174,42,4,22,5.5,NA,4,0.0902,,
1.1.8,25A,BO_004,BO,4,P4,BO_004_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.8,25E,BO_004,BO,4,P5,BO_004_P5,-31.2524,466.2628,1.9,4/29/19,14.5,IMG_4440,1.93,5/6/19,20.2,IMG_4492,1.95,5/6/19,18.2,IMG_4493,1.84,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,4,20,5,NA,4,0.102,,
1.1.8,25I,BO_004,BO,4,P6,BO_004_P6,-30.6109,393.1335,1.1,4/22/19,4.2,IMG_4222,1.68,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,0.0269,,petals curving inward in photo; corolla diameter measurement is underestimated
1.1.8,45A,BO_004,BO,4,P7,BO_004_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.1.8,45E,BO_004,BO,4,P8,BO_004_P8,-31.7104,471.2652,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,6/11/19,27,105,132,182,50,2,13,6.5,1,3,0.0674,,
1.1.8,45I,BO_004,BO,4,P9,BO_004_P9,NA,NA,NA,4/16/19,7.5,IMG-4175,2.44,4/22/19,10.5,IMG_4223,2.55,NA,NA,NA,NA,12/11/18,1/7/19,4/15/19,NA,NA,NA,NA,27,98,125,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.0,5A,BO_005,BO,5,P1,BO_005_P1,-28.7177,1164.9232,3.7,4/22/19,3.3,IMG_4235,2.18,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,5/20/19,5/20/19,NA,27,105,132,160,28,2,3,1.5,NA,2,0.0482,,petal edges appeared to be chewed off; corolla diameter measurement is underestimated
1.2.0,5E,BO_005,BO,5,P2,BO_005_P2,NA,NA,NA,4/22/19,6.9,IMG_4236,1.71,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.0,5I,BO_005,BO,5,P3,BO_005_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.0,25A,BO_005,BO,5,P4,BO_005_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.0,25E,BO_005,BO,5,P5,BO_005_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.0,25I,BO_005,BO,5,P6,BO_005_P6,NA,NA,NA,4/22/19,6,IMG_4237,1.53,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.0,45A,BO_005,BO,5,P7,BO_005_P7,-30.6217,1021.7718,3,4/22/19,6.3,IMG_4238,2.21,4/22/19,6.9,IMG_4239,2.65,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,3,3,NA,1,0.0494,,
1.2.0,45E,BO_005,BO,5,P8,BO_005_P8,-30.3606,815.3261,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,5/6/19,5/13/19,6/3/19,5/14/19,NA,27,119,146,153,7,2,7,3.5,NA,2,0.0278,,
1.2.0,45I,BO_005,BO,5,P9,BO_005_P9,-30.6125,380.3582,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/3/19,NA,6/11/19,27,112,139,174,35,NA,NA,NA,1,1,0.0093,,
1.2.2,5A,BO_006,BO,6,P1,BO_006_P1,NA,NA,NA,4/22/19,7.7,IMG_4233,1.67,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.2,5E,BO_006,BO,6,P2,BO_006_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,6/3/19,5/20/19,NA,27,105,132,160,28,2,1,0.5,NA,2,NA,,
1.2.2,5I,BO_006,BO,6,P3,BO_006_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,5,5,NA,1,NA,,
1.2.2,25A,BO_006,BO,6,P4,BO_006_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.2,25E,BO_006,BO,6,P5,BO_006_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,4,4,NA,1,NA,,
1.2.2,25I,BO_006,BO,6,P6,BO_006_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.2,45A,BO_006,BO,6,P7,BO_006_P7,-30.9805,1155.1139,3.7,4/22/19,3.1,IMG_4234,2.53,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,4,21,5.25,NA,4,0.0925,,
1.2.2,45E,BO_006,BO,6,P8,BO_006_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.2,45I,BO_006,BO,6,P9,BO_006_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.4,5A,BO_007,BO,7,P1,BO_007_P1,-29.9041,297.1845,0.9,4/22/19,4.1,IMG_4230,2.23,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,NA,6/11/19,27,105,132,182,50,NA,NA,NA,1,1,0.0126,,
1.2.4,5E,BO_007,BO,7,P2,BO_007_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.4,5I,BO_007,BO,7,P3,BO_007_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.4,25A,BO_007,BO,7,P4,BO_007_P4,-30.9419,782.7863,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,3,3,NA,1,0.0315,,
1.2.4,25E,BO_007,BO,7,P5,BO_007_P5,-30.8666,314.8068,0.7,4/22/19,2.1,IMG_4231,2.26,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/28/19,5/28/19,5/28/19,NA,27,105,132,168,36,1,1,1,NA,1,0.0073,,
1.2.4,25I,BO_007,BO,7,P6,BO_007_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.4,45A,BO_007,BO,7,P7,BO_007_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.4,45E,BO_007,BO,7,P8,BO_007_P8,NA,NA,NA,4/22/19,4,IMG_4232,2.33,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.4,45I,BO_007,BO,7,P9,BO_007_P9,-29.0767,249.8537,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,NA,27,105,132,153,21,3,8,2.67,NA,3,0.048,,
1.2.6,5A,BO_008,BO,8,P1,BO_008_P1,-30.7196,741.8027,2.3,4/22/19,13.2,IMG_4227,2.54,4/29/19,21,IMG_4443,2.56,5/6/19,21.5,IMG_4494,2.36,12/11/18,1/7/19,4/22/19,5/28/19,6/11/19,5/28/19,NA,27,105,132,168,36,6,20,3.33,NA,6,0.082,,
1.2.6,5E,BO_008,BO,8,P2,BO_008_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.6,5I,BO_008,BO,8,P3,BO_008_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.6,25A,BO_008,BO,8,P4,BO_008_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.6,25E,BO_008,BO,8,P5,BO_008_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.6,25I,BO_008,BO,8,P6,BO_008_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.6,45A,BO_008,BO,8,P7,BO_008_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/21/19,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.6,45E,BO_008,BO,8,P8,BO_008_P8,-30.7696,635.8199,2.3,4/22/19,5,IMG_4228,2.03,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/3/19,NA,27,105,132,174,42,3,3,1,NA,3,0.0955,,
1.2.6,45I,BO_008,BO,8,P9,BO_008_P9,-31.1262,631.2323,2.2,4/22/19,5.6,IMG_4229,2.19,4/29/19,12,IMG_4444,2.1,5/6/19,15,IMG_4495,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,2,6,3,NA,2,0.0338,,
